group,psc_desc,psc,Level1,Level_1_Category,Level_2,Level_2_Category
42,DECONTAMINATING AND IMPREGNATING EQUIPMENT,4230,5,Industrial Products & Services,5.2,Fire/Rescue/Safety/Environmental Protection Equipment
42,HAZARDOUS MATERIAL SPILL CONTAINMENT AND CLEAN-UP EQUIPMENT AND MATERIAL,4235,5,Industrial Products & Services,5.2,Fire/Rescue/Safety/Environmental Protection Equipment
42,SAFETY AND RESCUE EQUIPMENT,4240,5,Industrial Products & Services,5.2,Fire/Rescue/Safety/Environmental Protection Equipment
42,RECYCLING AND RECLAMATION EQUIPMENT,4250,5,Industrial Products & Services,5.2,Fire/Rescue/Safety/Environmental Protection Equipment
43,COMPRESSORS AND VACUUM PUMPS,4310,5,Industrial Products & Services,5.1,Machinery & Components
43,POWER AND HAND PUMPS,4320,5,Industrial Products & Services,5.1,Machinery & Components
43,"CENTRIFUGALS, SEPARATORS, AND PRESSURE AND VACUUM FILTERS",4330,5,Industrial Products & Services,5.1,Machinery & Components
44,INDUSTRIAL BOILERS,4410,4,Facilities & Construction,4.3,Facility Related Materials
44,HEAT EXCHANGERS AND STEAM CONDENSERS,4420,4,Facilities & Construction,4.3,Facility Related Materials
44,"INDUSTRIAL FURNACES, KILNS, LEHRS, AND OVENS",4430,4,Facilities & Construction,4.3,Facility Related Materials
44,"DRIERS, DEHYDRATORS, AND ANHYDRATORS",4440,4,Facilities & Construction,4.3,Facility Related Materials
44,AIR PURIFICATION EQUIPMENT,4460,4,Facilities & Construction,4.3,Facility Related Materials
44,NUCLEAR REACTORS,4470,11,"""Aircraft, Ships/Submarines & Land Vehicles""",11.3,Ships & Submarines
45,PLUMBING FIXTURES AND ACCESSORIES,4510,4,Facilities & Construction,4.3,Facility Related Materials
45,SPACE AND WATER HEATING EQUIPMENT,4520,4,Facilities & Construction,4.3,Facility Related Materials
45,FUEL BURNING EQUIPMENT UNITS,4530,4,Facilities & Construction,4.3,Facility Related Materials
45,WASTE DISPOSAL EQUIPMENT,4540,4,Facilities & Construction,4.3,Facility Related Materials
46,WATER PURIFICATION EQUIPMENT,4610,4,Facilities & Construction,4.3,Facility Related Materials
